"ID";"ENSEIGNE";"NUMERO ET LIBELLE DE VOIE";"COMPLEMENT";"CODE POSTAL";"COMMUNE"
13902;"Le Calumet";"32 rue nationale";;"56300";"PONTIVY"
13903;"Le Bistrot Des Halles";"5 rue des halles";;"56230";"QUESTEMBERT"
13904;"La Maison De La Presse";"3 rue de la gare";;"56530";"QUEVEN"
13905;"Le Royal";"2 place de l'église";;"56170";"QUIBERON"
13906;"Tabac";"17 rue de la mairie";;"56310";"QUISTINIC"
13907;"Tabac";"4 place de l'eglise";;"56500";"REGUINY"
13908;"Tabac";"2 rue gloahec";;"56670";"RIANTEC"
13909;"Le Pari";"5 place de l 'eglise";;"56350";"RIEUX"
13910;"Le Dôme";"56 rue de nantes";;"56130";"ROCHE-BERNARD"
13911;"Feerie D'armoric";"5 rue des scourtets";;"56220";"ROCHEFORT-EN-TERRE"
13912;"Le Pont Du Roc";"14 rue du val";;"56460";"ROC-SAINT-ANDRE"
13913;"Bar Tabac Des Halles";"15 rue du pont de l'oust";;"56580";"ROHAN"
13914;"Chez Miko";"59 rue nicolas le grand";;"56110";"ROUDOUALLEC"
13915;"Le Ruffiac";"7 place de l'eglise";;"56140";"RUFFIAC"
13916;"Bar-tabac-alimentation Helou";"4 rue de la mairie";;"56110";"SAINT"
13917;"St Al'bar";"11 place joseph marot";;"56500";"SAINT-ALLOUESTRE"
13918;"Tabac";"42 rue du general de gaulle";;"56400";"SAINTE-ANNE-D'AURAY"
13919;"Le Nemrod";"1 rue bossuet";;"56890";"SAINT-AVE"
13920;"Le Guelouen";"22 rue de la gare";;"56150";"SAINT-BARTHELEMY"
13921;"Tabac";"14 rue du crezelo";;"56130";"SAINT-DOLAY"
13922;"Tabac";"7 rue des ecoles";;"56920";"SAINT-GERAND"
13923;"Votre Marche";"32 rue des deux ponts";;"56920";"SAINT-GONNERY"
13924;"Le Napoleon";"15 rue du 11 septembre 1944";;"56700";"SAINTE-HELENE"
13925;"Le Lion D'or";"3 rue de rennes";;"56660";"SAINT-JEAN-BREVELAY"
13926;"Le Kreiz Ker";"1 place de l'eglise";;"56350";"SAINT-JEAN-LA-POTERIE"
13927;"Tabac";"5 place de l'église";;"56200";"SAINT-MARTIN"
13928;"Le Condat";"7 place du calvaire";;"56250";"SAINT-NOLFF"
13929;"Chez Nous";"1 impasse de l'abbaye";;"56350";"SAINT-PERREUX"
13930;"Tabac";"67 rue du general de gaulle";;"56510";"SAINT-PIERRE-QUIBERON"
13931;"Tabac";"2 place des lices";;"56370";"SARZEAU"
13932;"Le Sene Marin";"1 rue de la fontaine";;"56860";"SENE"
13933;"Graffiti";"19 rue general de kerhue";;"56460";"SERENT"
13934;"Le Sulniac";"12 place de l'eglise";;"56250";"SULNIAC"
13935;"Le Lobreont";"11 rue de la gare";;"56450";"SURZUR"
13936;"L'etrang'ere";"45 avenue du porhoët";;"56800";"TAUPONT"
13937;"Tabac";"1 rue de la chapelle";;"56450";"THEIX"
13938;"L'ocean";"10 rue de la mairie";;"56370";"TOUR-DU-PARC"
13939;"La Bonne Rencontre";"rue du moulin";;"56140";"TREAL"
13940;"Tabac";"4 place du commerce";;"56250";"TREDION"
13941;"Le Marc'h Tray";"17 place du martray";;"56490";"TRINITE-PORHOET"
13942;"Tabac";"12 cours des quais";;"56470";"TRINITE-SUR-MER"
13943;"Le Chiquito";"37 rue thiers";;"56000";"VANNES"
13944;"Les Forges";"5 rue des meuniers";;"56700";"HENNEBONT"
13945;"Les Tamaris";"11 boulevard de l'océan ";;"56270";"PLOEMEUR"
13946;"Tabac La Madeleine";"41 avenue franklin roosevelt";;"56000";"VANNES"
13947;"Tabac";"113 avenue maréchal juin";;"56000";"VANNES"
13948;"Tabac";"77 avenue jules le guen";;"56260";"LARMOR-PLAGE"
13949;"Tabac";"13 rue henri dunant";;"56000";"VANNES"
13950;"Le Roof";"le bas pouldu";;"56520";"GUIDEL"
13951;"Le Cyrano";"47 avenue kesler devillers";;"56600";"LANESTER"
13952;"Mag Press";"11 rue guillaume le bartz ";;"56000";"VANNES"
13953;"Le Café Des Sports";"12 rue etienne dolet";;"56600";"LANESTER"
13954;"Kerner Bar";"43 rue de kerner";;"56670";"RIANTEC"
13955;"Le Berlioz";"3 rue hector berlioz";"C. Commercial Du Bois Du Château";"56100";"LORIENT"
13956;"Bar Tabac Le Tal Er Mor";"77 rue du passage d'etel";;"56680";"PLOUHINEC"
13957;"Tabac";"8 place henri auffret";;"56000";"VANNES"
13958;"Le Beaulieu";"rue robert schumann";;"56100";"LORIENT"
13959;"Le Camas";"place d'argoat";;"56270";"PLOEMEUR"
13960;"Le Jaures";"52 rue jean jaures";;"56530";"QUEVEN"
13961;"Crouesty Tabac Presse";"port du crouesty - 3 place des huniers";;"56640";"ARZON"
13962;"Escalibor";"rue des chesnots";;"56430";"CONCORET"
13963;"Le Welcome";"6 place de l eglise";;"56890";"SAINT-AVE"
13964;"Alpha Presse";"44 avenue francois billoux";;"56600";"LANESTER"
13965;"La Pressk'ile";"15 centre commercial carrefour ";;"56000";"VANNES"
13966;"Dyak Presse";"13 fareham cliscouet";;"56000";"VANNES"
13967;"La Marine";"place de l'église";;"56840";"ILE-D'ARZ"
13968;"Tavarn Er Fetan";"le bourg";;"56390";"LOCMARIA-GRAND-CHAMP"
13969;"Le Fourn'ile";"le bourg";;"56170";"HOEDIC"
13970;"Le Rozell";"1 route de néant sur yvel";;"56800";"CAMPENEAC"
13971;"Tabac";"103 rue de jordy";;"57560";"ABRESCHVILLER"
13972;"Tabac";"102 rue de jordy";;"57560";"ABRESCHVILLER"
13973;"--";"100 rue clémenceau ""le bunnys""";;"57440";"ALGRANGE"
13974;"Tabac";"1 rue de la fontaine";;"57515";"ALSTING"
13975;"23, Route De Metz Tabac ";"m. labbe romuald ";;"57865";"AMANVILLERS"
13976;"Mecheri";"10 rue clémenceau ";;"57360";"AMNEVILLE"
13977;"Tabac";"3 rue pasteur";;"57130";"ARS-SUR-MOSELLE"
13978;"Tabac";"20 rue foch";;"57130";"ARS-SUR-MOSELLE"
13979;"Tabac";"2bis rue saint martin ";;"57710";"AUMETZ"
13980;"Tabac";"18 rue principale ";;"57230";"BAERENTHAL"
13981;"Tabac";"20 place du 25 novembre";;"57690";"BAMBIDERSTROFF"
13982;"--";"14 rue du nord";"""";"57050";"BAN-SAINT-MARTIN"
13983;"Tabac";"118 route de plappeville";;"57050";"BAN-SAINT-MARTIN"
13984;"Tabac";"47 grand rue ";;"57670";"BENESTROFF"
13985;"Tabac";"36 rue principale";;"57930";"BERTHELMING"
13986;"Tabac";"1 rue de rahling";;"57410";"BINING"
13987;"Tabac";"2 rue de sarreguemines";;"57230";"BITCHE"
13988;"Maison De La Presse Tabac Hoellinger";"63 rue saint augustin ";;"57230";"BITCHE"
13989;"Tabac Le Balto";"19 place clemenceau";;"57220";"BOULAY-MOSELLE"
13990;"Tabac";"13 rue marechal foch";;"57220";"BOULAY-MOSELLE"
13991;"Tabac";"7 place de la republique";;"57310";"BOUSSE"
13992;"Tabac";"11 rue de la republique";;"57320";"BOUZONVILLE"
13993;"Tabac";"5 rue de sarrelouis";;"57320";"BOUZONVILLE"
13994;"Tabac";"49 rue de la republique";;"57320";"BOUZONVILLE"
13995;"Tabac";"8 rue dufays";;"57170";"CHATEAU-SALINS"
13996;"Tabac";"17 rue marechal foch";;"57185";"CLOUANGE"
13997;"Tabac Presse ""le Narval"" ";"11 avenue charles de gaulle";;"57530";"COURCELLES-CHAUSSY"
13998;;;"2, Rue Pasteur";"57690";"CREHANGE"
13999;"Tabac";"13 rue de la houve";;"57150";"CREUTZWALD"
14000;"Tabac";"19 place de l eglise";;"57850";"DABO"
14001;"Tabac";"2 rue leclerc";;"57850";"DABO"
14002;"Tabac";"1 route de férange ";;"57320";"DALSTEIN"
14003;"--";"59 rue clemenceau";"""";"57260";"DIEUZE"
14004;"Tabac";"12 avenue du general de gaulle";;"57260";"DIEUZE"
14005;"Tabac";"2 chemin st hubert";;"57925";"DISTROFF"
14006;"Tabac";"23 rue centrale";;"57415";"ENCHENBERG"
14007;"Tabac";"63 rue de weiskirch";;"57720";"EPPING"
14008;"Tabac";"3 rue de la foret";;"57550";"FALCK"
14009;"Tabac";"39 rue de metz";;"57380";"FAULQUEMONT"
14010;"Tabac";"11 rue de metz";;"57380";"FAULQUEMONT"
14011;"Tabac";"57 rue principale";;"57365";"FLEVY"
14012;"Macao Bar Tabac ";"66 rue de longwy";;"57190";"FLORANGE"
14013;"--";"42 rue nationale";"""la Tabatière""";"57190";"FLORANGE"
14014;"Tabac";"1 rue principale";;"57730";"FOLSCHVILLER"
14015;"Tabac";"123 rue nationale";;"57600";"FORBACH"
14016;"Tabac";"174a rue nationale";;"57600";"FORBACH"
14017;"Tabac";"gare hall voyageurs";;"57600";"FORBACH"
14018;"Tabac";"35 rue de la frontiere";;"57800";"FREYMING-MERLEBACH"
14019;"Tabac Presse Loto";"49 rue louis jost";;"57175";"GANDRANGE"
14020;"Tabac";"7 rue de bitche";;"57620";"GOETZENBRUCK"
14021;"Tabac";"15 rue principale ";;"57220";"GOMELANGE"
14022;"Snc L'orchidée";;"3, Impasse Du Charron";"57930";"GOSSELMING"
14023;;;"9 R De La Liberte";"57520";"GROSBLIEDERSTROFF"
14024;"Tabac";"24 rue principale";;"57410";"GROS-REDERCHING"
14025;"Tabac";"31 place de la république ";;"57310";"GUENANGE"
14026;;;"17 Rue De La Gare";"57300";"HAGONDANGE"
14027;"Tabac";"67 rue de la gare";;"57300";"HAGONDANGE"
14028;"Tabac";"72 rue principale";;"57550";"HARGARTEN-AUX-MINES"
14029;"Tabac";"1 rue de la fontaine";;"57850";"HASELBOURG"
14030;"Tabac";"2 rue du gal de gaulle";;"57700";"HAYANGE"
14031;"Tabac";"2a rue pierre mendes france";;"57700";"HAYANGE"
14032;"Tabac";"7 rue de la liberation";;"57450";"HENRIVILLE"
14033;"Tabac";"8 rue du centre";;"57400";"HESSE"
14034;"--";"7 rue du general patton";"""";"57330";"HETTANGE-GRANDE"
14035;"Tabac";"39 rue de lixheim";;"57400";"HILBESHEIM"
14036;"Tabac";"16 rue edmond flamand";;"57400";"SARREBOURG"
14037;"Tabac";"5 rue principale";;"57920";"HOMBOURG-BUDANGE"
14038;"Tabac";"1 rue bellevue - r.n. 4 ";;"57405";"HOMMARTING"
14039;"Tabac";"37 rue principale";;"57870";"HOMMERT"
14040;"Tabac";"23 rue marechal foch";;"57490";"HOPITAL"
14041;"Le Cap";"7 allee des tilleuls";"Parc Aravis";"57130";"JOUY-AUX-ARCHES"
14042;"Tabac";"36 rue de la republique";;"57240";"KNUTANGE"
14043;"--";"39 rue nationale";"""café Des Amis""";"57970";"STUCKANGE"
14044;"Tabac";"26 rue de nancy";;"57660";"LIXING-LES-SAINT-AVOLD"
14045;"Snc Le Carre D'as";;"25, Rue Du Général De Gaulle";"57050";"LONGEVILLE-LES-METZ"
14046;"Tabac Loto Epicerie ";"116 rue du general leclerc";;"57790";"LORQUIN"
14047;"Tabac";"38 rue principale tabac ""café des amis""";;"57510";"LOUPERSHOUSE"
14048;"Tabac Vuilliet";"68 grand rue ";;"57280";"MAIZIERES-LES-METZ"
14049;"Tabac";"11 rue du 4 septembre";;"57280";"MAIZIERES-LES-METZ"
14050;"Tabac";"35 grand rue ";;"57100";"MANOM"
14051;"--";"77 rue des pionniers";;"57535";"MARANGE-SILVANGE"
14052;"--";"7 bis rue de la croix st joseph";;"57155";"MARLY"
14053;"80 Rue Principale Tabac ";"restaurant ""la calèche""";;"57140";"MAXE"
14054;"Tabac";"1 rue eugene kloster";;"57800";"FREYMING-MERLEBACH"
14055;"Tabac";"47 avenue roosevelt";;"57800";"FREYMING-MERLEBACH"
14056;;;"10, Avenue De Plantières";"57070";"METZ"
14057;"Tabac";"3 rue du pont des morts";;"57000";"METZ"
14058;"Tabac";"36 rue de la tete d or";;"57000";"METZ"
14059;"Tabac Presse Totem ";"6 rue du palais";;"57000";"METZ"
14060;;;"29, En Fournirue";"57000";"METZ"
14061;"Tabac";"1 bis avenue de lattre de tassigny";;"57000";"METZ"
14062;"Tabac";"5 rue françois de curel";;"57000";"METZ"
14063;"Tabac";"18 rue du neufbourg";;"57000";"METZ"
14064;"Tabac";"63 place st louis";;"57000";"METZ"
14065;"Tabac";"gare centrale";;"57000";"METZ"
14066;"Tabac Presse ""le Lonchamp"" ";"35 place du quarteau ";;"57000";"METZ"
14067;;;"7, Rue Saint Livier";"57000";"METZ"
14068;"Tabac";"69 bis rue de lorry";;"57050";"METZ"
14069;;;"92, Rue Du Xxème Corps Américain";"57000";"METZ"
14070;"Tabac";"- la royale - 14 rue winston churchill";;"57000";"METZ"
14071;"Tabac";"12 boulevard de trèves";;"57000";"METZ"
14072;"Tabac";"19-21 rue du change";;"57000";"METZ"
14073;"Snc Le Diplomate -";;"77, Rue Aux Arènes";"57000";"METZ"
14074;"Tabac";"7 place jean jaurès";;"57050";"METZ"
14075;"Tabac";"1 rue de la plage";;"57930";"MITTERSHEIM"
14076;"Tabac";"66 bis rue de boussange";;"57300";"MONDELANGE"
14077;"Tabac";"41 rue centrale ";;"57415";"MONTBRONN"
14078;;;"241, Rue De Pont À Mousson";"57950";"MONTIGNY-LES-METZ"
14079;"Tabac";"13 rue de pont a mousson";;"57950";"MONTIGNY-LES-METZ"
14080;"Tabac";"19 place joseph schaff";;"57950";"MONTIGNY-LES-METZ"
14081;"Tabac ""franiatte"" ";"11 rue franiatte";;"57950";"MONTIGNY-LES-METZ"
14082;"Snc Tabac Mermoz";;"1, Rue De Frescaty";"57950";"MONTIGNY-LES-METZ"
14083;"Tabac";"38 rue du général de gaulle";;"57860";"MONTOIS-LA-MONTAGNE"
14084;"Tabac";"24 place de la république";;"57340";"MORHANGE"
14085;"Tabac";"place de la mairie";;"57620";"MOUTERHOUSE"
14086;"Tabac";"1 rue grammont";;"57250";"MOYEUVRE-GRANDE"
14087;"Café Restaurant Tabac ";"12 route de nancy ";;"57260";"MULCEY"
14088;"Tabac";"21 rue de torcheville";;"57670";"MUNSTER"
14089;"Tabac";"71 rue maréchal joffre";;"57240";"NILVANGE"
14090;"Tabac";"2 route de bouzonville";;"57320";"OBERDORFF"
14091;"Tabac";"655 rue de sarreguemines";;"57600";"OETING"
14092;"Tabac";"48 rue de gargan";;"57245";"PELTRE"
14093;"Tabac";"25 rue notre dame ";;"57410";"PETIT-REDERCHING"
14094;"Tabac";"177 rue du gal de gaulle";;"57540";"PETITE-ROSSELLE"
14095;"""tabac De La Liberté"" ";"4 rue de la liberté ";;"57370";"PHALSBOURG"
14096;"Tabac";"117 rue de saint avold";;"57890";"PORCELETTE"
14097;"Tabac";"8 rue de bining";;"57410";"RAHLING"
14098;"Tabac";"2 rue du pont de pierre";;"57810";"RECHICOURT-LE-CHATEAU"
14099;"Tabac";"3 rue raymond mondon";;"57120";"ROMBAS"
14100;;;"2, Rue De Versailles";"57120";"ROMBAS"
14101;"Tabac";"13 a grande rue";;"57780";"ROSSELANGE"
14102;"--";"""la tabatière"" 3 rue hirschauer";;"57500";"SAINT-AVOLD"
14103;"Tabac";"3 avenue clemenceau";;"57500";"SAINT-AVOLD"
14104;"Tabac";"44 rue poincare";;"57500";"SAINT-AVOLD"
14105;"Tabac";"av. de l'étang - quartier emile huchet ";;"57500";"SAINT-AVOLD"
14106;"Tabac";"49 rue du 18 juin";;"57820";"SAINT-LOUIS"
14107;"Tabac Presse Loto";"3 avenue jean jaurès";;"57255";"SAINTE-MARIE-AUX-CHENES"
14108;"Tabac";"2 rue napoleon ier";;"57430";"SARRALBE"
14109;"Café Tabac""la Perle""";"2 rue du chanoine goldschmitt ";;"57430";"SARRALBE"
14110;"Auberge Au Lion D'or - Tabac ";"3 rue de fénétrange ";;"57400";"SARRALTROFF"
14111;"Tabac";"15 rue gambetta";;"57400";"SARREBOURG"
14112;"Snc Les Capucins";;"73, Grand'rue";"57400";"SARREBOURG"
14113;"Tabac";"21 grand rue ";;"57400";"SARREBOURG"
14114;"Tabac";"gare voyageurs";;"57400";"SARREBOURG"
14115;"Tabac";"26 avenue de france";;"57400";"SARREBOURG"
14116;"Tabac";"9 avenue de la gare";;"57200";"SARREGUEMINES"
14117;"Tabac";"38 route de nancy";;"57200";"SARREGUEMINES"
14118;"Tabac";"9 place du général sibille ";;"57200";"SARREGUEMINES"
14119;"Tabac";"5 rue de l eglise";;"57200";"SARREGUEMINES"
14120;"Tabac";"14 rue maréchal foch ";;"57200";"SARREGUEMINES"
14121;"Tabac";"gare quai";;"57200";"SARREGUEMINES"
14122;"Tabac";"111 rue charles de gaulle";;"57290";"SEREMANGE-ERZANGE"
14123;"Tabac Loto Cadeaux ";"22 rue st francois";;"57350";"STIRING-WENDEL"
14124;"Tabac ""l'anti Stress""";"14 rue du puits iii";;"57350";"STIRING-WENDEL"
14125;"Tabac";"13 rue principale";;"57230";"STURZELBRONN"
14126;"Tabac";"5 rue de metz";;"57525";"TALANGE"
14127;"Tabac";"32 rue joffre";;"57100";"THIONVILLE"
14128;"Tabac";"1 place aux bois ";;"57100";"THIONVILLE"
14129;"--";"17 place du marche";;"57100";"THIONVILLE"
14130;"Tabac";"70 avenue albert 1er ";;"57100";"THIONVILLE"
14131;"Tabac";"gare sncf ";;"57100";"THIONVILLE"
14132;"Snc Eurobar";;"34 Grand'rue";"57300";"TREMERY"
14133;"Tabac - Vallersysthal ";"6 rue de la bievre";;"57870";"TROISFONTAINES"
14134;"Tabac";"33 rue de jeanne d arc";;"57270";"UCKANGE"
14135;"Tabac";"20 rue de fameck";;"57270";"UCKANGE"
14136;"Snc Mt";;"2, Rue Principale";"57580";"VATIMONT"
14137;"Tabac";"21 rue nationale ";;"57420";"VERNY"
14138;"Tabac";"8 rue de l'église ";;"57370";"VESCHEIM"
14139;"Tabac Presse L'evechoise";"18 place jeanne d arc";;"57630";"VIC-SUR-SEILLE"
14140;"Tabac";"31 rue de la reine ";;"57640";"VIGY"
14141;"Tabac Presse Loto";"4 avenue de la liberte";;"57330";"VOLMERANGE-LES-MINES"
14142;"Tabac";"2 rue emile gentil";;"57720";"VOLMUNSTER"
14143;"Tabac";"1 rue d ippling";;"57200";"SARREGUEMINES"
14144;"Tabac Le Saphir";"5 rue du général de gaulle";;"57140";"WOIPPY"
14145;"Tabac";"1 rue de nancy";;"57915";"WOUSTVILLER"
14146;"Tabac";"92 avenue des nations ";;"57970";"YUTZ"
14147;"Tabac";"36 avenue des nations ";;"57970";"YUTZ"
14148;"Tabac";"147 rue du président roosevelt";;"57970";"YUTZ"
14149;"Tabac";"8 grand rue ";;"57670";"ALBESTROFF"
14150;"Tabac";"29 rue principale ";;"57200";"BLIESBRUCK"
14151;"Tabac";"28 rue de metz";;"57680";"CORNY-SUR-MOSELLE"
14152;"Tabac";"26 rue du general nassoy";;"57590";"DELME"
14153;"Tabac";"70 rue principale ";;"57980";"DIEBLING"
14154;"Tabac";"90 rue du commerce ";;"57680";"GORZE"
14155;;;"98, Rue Nationale";"57910";"HAMBACH"
14156;"Snc Le Floride";;"40, Rue Nationale";"57660";"HELLIMER"
14157;"Tabac";"16 rue st clement";;"57670";"INSMING"
14158;"Tabac";"4 rue du gal de gaulle";;"57740";"LONGEVILLE-LES-SAINT-AVOLD"
14159;"Tabac";"14 rue du gal de gaulle";;"57670";"LOUDREFING"
14160;;;"4, Route De Phalsbourg";"57820";"LUTZELBOURG"
14161;"Tabac";"2 rue du faubourg";;"57000";"METZ"
14162;;;"60 R De Lorraine";"57565";"NIDERVILLER"
14163;"Tabac";"6 place d armes";;"57370";"PHALSBOURG"
14164;"Tabac";"57 rue wilson";;"57510";"PUTTELANGE-AUX-LACS"
14165;"Tabac";"12 rue auguste rolland";;"57580";"REMILLY"
14166;"Tabac";"pavillon c impasse de la gare";;"57270";"RICHEMONT"
14167;"Tabac";"85 rue de la verrerie ";;"57560";"SAINT-QUIRIN"
14168;"--";"3 place de gascogne ";;"57420";"SOLGNE"
14169;"Tabac";"17 rue de la vallée";;"57870";"TROISFONTAINES"
14170;"Tabac";"111 rue principale";;"57720";"WALSCHBRONN"
14171;"Tabac";"23 avenue albert ier";;"57100";"THIONVILLE"
14172;"Tabac";"19 rue moliere";;"57100";"THIONVILLE"
14173;"--";"centre commercial ii-";"37, Rue De La Liberté";"57460";"BEHREN-LES-FORBACH"
14174;"--";"56 rue franiatte";;"57950";"MONTIGNY-LES-METZ"
14175;"Tabac";"58 boulevard de l'europe ";;"57070";"METZ"
14176;"Centre Commercial 2 - Tabac";"place du marché ";;"57450";"FAREBERSVILLER"
14177;"Tabac Presse Loto";"6 place st jean - le konacker - ";;"57700";"HAYANGE"
14178;"--";"5 rue st nicolas";"""au Petit Tonneau"" Tabac";"57160";"SCY-CHAZELLES"
14179;"--";"25 boulevard de guyenne";"Metz";"57070";"METZ"
14180;"Tabac";"8 rue laurent charles maréchal ";;"57070";"METZ"
14181;"Tabac """;"2 bis rue paul claudel";;"57070";"METZ"
14182;"--";"1 avenue ney";"Galerie Esplanade Belvédère - Tabac";"57000";"METZ"
14183;"Tabac Duval";"93 rue de verdun";;"57180";"TERVILLE"
14184;"Tabac";"6 rue de la gendarmerie";;"57100";"THIONVILLE"
14185;"Tabac";"68 avenue de thionville";;"57140";"WOIPPY"
14186;"Tabac";"10 place du marche";;"57290";"FAMECK"
14187;12;"16 rue de metz";;"57300";"HAGONDANGE"
14188;"--";"63 rue de villers";;"57120";"ROMBAS"
14189;"Tabac";"8 rue de bretagne c c alger";;"57160";"MOULINS-LES-METZ"
14190;"Tabac";"6 place jaslon";;"57140";"WOIPPY"
14191;"--";"62 rue de la carrière ";;"57500";"SAINT-AVOLD"
14192;"Centre Commercial Cora ";"le havane 11 boulevard de la solidarité";;"57070";"METZ"
14193;"Tabac";"4 rue du maillet centre commercial geric";;"57100";"THIONVILLE"
14194;"Les Buffets Boutiques Et Services Des Autoroutes De France";"restaurant et service d'autoroutes a4";"Aire De Longeville Les St Avold";"57740";"LONGEVILLE-LES-SAINT-AVOLD"
14195;"Snc Tabac De La Place";"1 place jean spinga";;"57000";"METZ"
14196;;;"5, Rue De Dieuze";"57670";"FRANCALTROFF"
14197;;;"2, Route De Boulay";"57645";"NOISSEVILLE"
14198;"--";"snc tigos - 109 rue de vallieres ";;"57070";"METZ"
14199;"Snc L'escale -";;"79, Rue Principale";"57430";"WILLERWALD"
14200;;;"77, Boucle De La Milliaire";"57100";"THIONVILLE"
14201;"Tabac";"93 route de garche";;"57100";"THIONVILLE"
14202;"Tabac";"55 rue des graminees";;"57100";"THIONVILLE"
14203;"Tabac";"4 rue philippe colson";;"57950";"MONTIGNY-LES-METZ"
14204;"Tabac";"rue cuvion centre commercial l'horloge";;"57070";"METZ"
14205;"Tabac";"8 passage de la petite vallee";;"57100";"THIONVILLE"
14206;"Tabac À Grostenquin";"19 rue nationale c c st blai";;"57660";"GROSTENQUIN"
14207;"Tabac";"64 rue principale";;"57220";"COUME"
14208;"Tabac";"25 bis rue de metz ";;"57530";"COURCELLES-SUR-NIED"
14209;"--";"25 rue kennedy";"""proxi"" Iorfida Bruno";"57310";"RURANGE-LES-THIONVILLE"
14210;"Tabac";"13 route de paris ";;"57160";"ROZERIEULLES"
14211;"""tabac Totem"" Zac Du Val Marie ";"15 route des romains";;"57100";"THIONVILLE"
14212;"Tabac";"31 grand'rue ";;"57905";"SARREINSMING"
14213;"Tabac";"62 rue des cevennes";;"57690";"CREHANGE"
14214;"--";"""tabac presse les 4 chemins""";"1, Allée Jean Morette";"57280";"MAIZIERES-LES-METZ"
14215;"Rockmans";;"112, Rue De La Marne";"57142";"GONDREXANGE"
14216;"Hotel Du Commerce";"le bourg";;"58480";"ANLEZY"
14217;"Le Cornemuse";"le cornemuse";;"58430";"ARLEUF"
14218;"Cafe Des Bertranges";"le bourg";;"58700";"BEAUMONT-LA-FERRIERE"
14219;"Le P'tit Bouchon";"16 rue de la mairie";;"58530";"BREVES"
14220;"Maison De La Presse";"73 avenue louis coudant";;"58340";"CERCY-LA-TOUR"
14221;"Maison De La Presse";"97 rue camille barrere";;"58400";"CHARITE-SUR-LOIRE"
14222;"Le 421";"2 place des pêcheurs";;"58400";"CHARITE-SUR-LOIRE"
14223;"Le Cameleon";"le bourg 58350 chasnay";;"58350";"CHASNAY"
14224;"Le Saint Christophe";"12 place saint christophe";;"58120";"CHATEAU-CHINON(VILLE)"
14225;"Maison De La Presse";"3 bld de la republique";;"58120";"CHATEAU-CHINON(VILLE)"
14226;"Maison De La Presse";"13 rue du dr dubois";;"58110";"CHATILLON-EN-BAZOIS"
14227;"La Vieille Auberge";"le bourg";;"58120";"CHAUMARD"
14228;"L'aire De Rien";"1 route de brinon";;"58420";"CHEVANNES-CHANGY"
14229;"Bar Du Centre";"place de l'église";;"58160";"CHEVENON"
14230;"Cafe De France";"4 place de bethleem";;"58500";"CLAMECY"
14231;"Cafe Du Parc";"38 rue du president wilson";;"58500";"CLAMECY"
14232;"Mon Oncle Benjamin";"10 rue du grand marche";;"58500";"CLAMECY"
14233;"La Taverne";"1 romain rolland";"La Taverne Peradon-tabac-";"58500";"CLAMECY"
14234;"Le St Jean";"6 avenue saint jean";;"58800";"CORBIGNY"
14235;"Le Carre D'as";"26 rue du commerce";;"58200";"COSNE-COURS-SUR-LOIRE"
14236;"La Belle Gerbe";"79 rue des rivières st agnan";;"58200";"COSNE-COURS-SUR-LOIRE"
14237;"Hotel De La Gare";"place de la gare";;"58200";"COSNE-COURS-SUR-LOIRE"
14238;"Cafe De La Ville";"9 rue dumaréchal leclerc";;"58200";"COSNE-COURS-SUR-LOIRE"
14239;"Bar Du Moulin";"8 rue st agnan";;"58200";"COSNE-COURS-SUR-LOIRE"
14240;"Bar Les Remparts";"7 rue de moulins";;"58300";"DECIZE"
14241;"La Civette";"7 qu de loire";;"58300";"DECIZE"
14242;"Cafe De L'hôtel De Ville";"43 rue de la republique";;"58300";"DECIZE"
14243;"Le Clos St Victor";"42 route de genève";;"58300";"DEVAY"
14244;"Le Donzy";"17 rue notre dame";;"58220";"DONZY"
14245;"Cafe De La Place";"8 place gambetta";;"58220";"DONZY"
14246;"Aux Portes Du Morvan";"le bourg";;"58800";"EPIRY"
14247;"Le Flash";"49 rue gambetta";;"58600";"FOURCHAMBAULT"
14248;"Le Diplomate";"17 rue gambetta";;"58600";"FOURCHAMBAULT"
14249;"Pause Cafe";"2 avenue du général cheutin";"Pause Cafe";"58130";"GUERIGNY"
14250;"Un Coin De Campagne";"le bourg - rue st jacques de compostelle";"Un Coin De Campagne";"58420";"GUIPY"
14251;"La Table Ronde";"28 avenue jean jaures";;"58160";"IMPHY"
14252;"Cafe De L'union";"15 rue paul vaillant couturier";;"58160";"IMPHY"
14253;"Tabac";"le bourg";;"58290";"LIMANTON"
14254;"La Source";"20 route d avallon";;"58140";"LORMES"
14255;"Cafe Des Sports";"rue du commerce";;"58170";"LUZY"
14256;"Tabac Peche Cadeaux Loto";"10 rue de la république";;"58170";"LUZY"
14257;"Cafe De La Gare";"la gare";"Montaron (par Fours)";"58250";"MONTARON"
14258;"Le Montigny";"le bourg";;"58130";"MONTIGNY-AUX-AMOGNES"
14259;"Tabac-loto-articles De Peche";"7 place lafayette";;"58290";"MOULINS-ENGILBERT"
14260;"La Bertiniere";"les bertins";"La Bertinière";"58400";"NARCY"
14261;"Au Bon Coin";"16 rue de loire";;"58000";"NEVERS"
14262;"Le Brazza";"28 avenue général de gaulle";;"58000";"NEVERS"
14263;"Le Rallye";"29 rue francois mitterrand";;"58000";"NEVERS"
14264;"Tabac";"15 rue saint etienne";;"58000";"NEVERS"
14265;"Le Fontenoy";"19 avenue colbert";;"58000";"NEVERS"
