"ID";"ENSEIGNE";"NUMERO ET LIBELLE DE VOIE";"COMPLEMENT";"CODE POSTAL";"COMMUNE"
108;"Tabac";"le bourg";;"01680";"LOMPNAS"
109;"Tabac";"116 route nationale";;"01110";"HAUTEVILLE-LOMPNES"
110;"Tabac";"25 rue du bugey";;"01360";"LOYETTES"
111;"Tabac";"21 route des grands moulins";;"01430";"MAILLAT"
112;"Tabac";"1230 grande route";;"01570";"MANZIAT"
113;"Chez Steph";"49 grande rue";;"01851";"MARBOZ"
114;"Tabac";"64 grande rue";;"01851";"MARBOZ"
115;"Epicerie Fontaine";"358 grande rue";;"01240";"MARLIEUX"
116;"Tabac";"le bourg";;"01340";"MARSONNAS"
117;"Le Comptoir De Marie";"190 grande rue";;"01100";"MARTIGNAT"
118;"Tabac";"grande rue";;"01370";"MEILLONNAS"
119;"Tabac Le Carillon";"4 rue de genève";;"01800";"MEXIMIEUX"
120;"Tabac";"route de lyon";;"01800";"MEXIMIEUX"
121;"Tabac";"120 grande rue";;"01660";"MEZERIAT"
122;"Tabac";"114 rue principale";;"01390";"MIONNAY"
123;"Tabac";"le mas rillier";;"01700";"MIRIBEL"
124;"La Cotiere";"1146 grande rue";;"01700";"MIRIBEL"
125;"Tabac";"208 route de tramoyes";;"01700";"MIRIBEL"
126;"La Terrasse";"898 grande rue";;"01700";"MIRIBEL"
127;"Tabac";"le village";;"01140";"MOGNENEINS"
128;"Tabac";"place du village";;"01470";"MONTAGNIEU"
129;"Tabac";"hameau les granges";;"01470";"MONTAGNIEU"
130;"Tabac";"le village 19 rue de la mairie";;"01310";"MONTCET"
131;"Tabac";"235 grande rue";;"01120";"MONTLUEL"
132;"Le Carnot";"12 place carnot";;"01120";"MONTLUEL"
133;"Les Trois Rivieres";"1 place de la liberte";;"01090";"MONTMERLE-SUR-SAONE"
134;"Le Stromboli";"8 rue de macon";;"01090";"MONTMERLE-SUR-SAONE"
135;"Tabac";"7 rue des savoies";;"01460";"MONTREAL-LA-CLUSE"
136;"Maison De La Presse";"11 grande rue";;"01360";"MONTREVEL-EN-BRESSE"
137;"Le Paddy's Bar";"45 route du berthiand";;"01460";"NURIEUX-VOLOGNAT"
138;"Au Pecheur Qui Fume";"76 rue du docteur mercier";;"01130";"NANTUA"
139;"Maison De La Presse";"24 rue du college";;"01130";"NANTUA"
140;"Tabac";"53 rue docteur mercier";;"01130";"NANTUA"
141;"Tabac";"185 rue de la poste";;"01400";"NEUVILLE-LES-DAMES"
142;"Tabac";"583 rue pierre goujon";;"01160";"NEUVILLE-SUR-AIN"
143;"Tabac";"route de geneve";;"01700";"NEYRON"
144;"A La Civette";"96 rue anatole france";;"01100";"OYONNAX"
145;"Les 5 Passages";"29 rue voltaire";;"01100";"OYONNAX"
146;"L'anath'ol";"97 rue anatole france";;"01100";"OYONNAX"
147;"Tabac";"7 place emile zola tabac";;"01100";"OYONNAX"
148;"Tabac";"48 rue anatole france";;"01100";"OYONNAX"
149;"Tabac";"38 rue michelet";;"01100";"OYONNAX"
150;"O P'tit Marche D'ozan";"706 grande rue";;"01190";"OZAN"
151;"Le Parcieux";"41 rue de la mairie";;"01600";"PARCIEUX"
152;"Tabac";"1508 avenue de lyon";;"01960";"PERONNAS"
153;"Cafe De La Mairie";"810 route de bourg";;"01120";"PIZAY"
154;"Tabac Le 2j";"la traverse";;"01130";"POIZAT"
155;"Tabac";"14 route de mâcon";;"01310";"POLLIAT"
156;"Tabac";"23 place bichat";;"01450";"PONCIN"
